condition_name,condition_slug,symptom_names,symptom_slugs,symptom_probabilities,text,num_symptoms,max_symptom_probability,mean_symptom_probability,urgent_score,gp_score,self_score,label,override_applied,text_len_words,label_numeric
Cryptococcosis,cryptococcosis,"['Lip swelling', 'Fainting', 'Seizures', 'Depressive or psychotic symptoms', 'Shoulder swelling', 'Nailbiting', 'Eye strain']","['lip-swelling', 'fainting', 'seizures', 'depressive-or-psychotic-symptoms', 'shoulder-swelling', 'nailbiting', 'eye-strain']","[63, 63, 63, 63, 7, 7, 7]","Condition: Cryptococcosis. Patient reports: Lip swelling, Fainting, Seizures, Depressive or psychotic symptoms, Shoulder swelling, Nailbiting, Eye strain.",7,63,39.0,2,0,0,urgent,False,17,2
Dissociative disorder,dissociative-disorder,"['Depressive or psychotic symptoms', 'Anxiety and nervousness', 'Depression', 'Low self-esteem', 'Excessive anger', 'Disturbance of memory', 'Delusions or hallucinations']","['depressive-or-psychotic-symptoms', 'anxiety-and-nervousness', 'depression', 'low-self-esteem', 'excessive-anger', 'disturbance-of-memory', 'delusions-or-hallucinations']","[83, 66, 66, 30, 30, 18, 18]","Condition: Dissociative disorder. Patient reports: Depressive or psychotic symptoms, Anxiety and nervousness, Depression, Low self-esteem, Excessive anger, Disturbance of memory, Delusions or hallucinations.",7,83,44.42857142857143,0,0,0,self_monitor,False,23,0
Alcoholic liver disease,alcoholic-liver-disease,"['Sharp abdominal pain', 'Abusing alcohol', 'Peripheral edema', 'Abdominal distention', 'Diarrhea', 'Abnormal involuntary movements', 'Vomiting blood']","['sharp-abdominal-pain', 'abusing-alcohol', 'peripheral-edema', 'abdominal-distention', 'diarrhea', 'abnormal-involuntary-movements', 'vomiting-blood']","[61, 50, 37, 28, 28, 22, 22]","Condition: Alcoholic liver disease. Patient reports: Sharp abdominal pain, Abusing alcohol, Peripheral edema, Abdominal distention, Diarrhea, Abnormal involuntary movements, Vomiting blood.",7,61,35.42857142857143,1,4,0,urgent,False,21,2
Scar,scar,"['Acne or pimples', 'Skin lesion', 'Abnormal appearing skin', 'Itching of skin', 'Skin growth', 'Skin moles', 'Skin dryness, peeling, scaliness, or roughness']","['acne-or-pimples', 'skin-lesion', 'abnormal-appearing-skin', 'itching-of-skin', 'skin-growth', 'skin-moles', 'skin-dryness-peeling-scaliness-or-roughness']","[34, 34, 26, 24, 19, 12, 12]","Condition: Scar. Patient reports: Acne or pimples, Skin lesion, Abnormal appearing skin, Itching of skin, Skin growth, Skin moles, Skin dryness, peeling, scaliness, or roughness.",7,34,23.0,0,0,0,self_monitor,False,25,0
Lymphadenitis,lymphadenitis,"['Sore throat', 'Fever', 'Sharp abdominal pain', 'Swollen lymph nodes', 'Neck pain', 'Neck mass', 'Neck swelling']","['sore-throat', 'fever', 'sharp-abdominal-pain', 'swollen-lymph-nodes', 'neck-pain', 'neck-mass', 'neck-swelling']","[60, 55, 53, 53, 50, 43, 40]","Condition: Lymphadenitis. Patient reports: Sore throat, Fever, Sharp abdominal pain, Swollen lymph nodes, Neck pain, Neck mass, Neck swelling.",7,60,50.57142857142857,0,3,0,consult_gp,False,19,1
Cervical cancer,cervical-cancer,"['Pelvic pain', 'Vaginal discharge', 'Heavy menstrual flow', 'Unpredictable menstruation', 'Vaginal itching', 'Intermenstrual bleeding', 'Painful menstruation']","['pelvic-pain', 'vaginal-discharge', 'heavy-menstrual-flow', 'unpredictable-menstruation', 'vaginal-itching', 'intermenstrual-bleeding', 'painful-menstruation']","[13, 11, 6, 5, 5, 5, 5]","Condition: Cervical cancer. Patient reports: Pelvic pain, Vaginal discharge, Heavy menstrual flow, Unpredictable menstruation, Vaginal itching, Intermenstrual bleeding, Painful menstruation.",7,13,7.142857142857143,0,0,0,self_monitor,False,20,0
Lead poisoning,lead-poisoning,"['Pain in eye', 'Shoulder cramps or spasms', 'Facial pain', 'Ankle pain', 'Wrist pain', 'Pain during pregnancy', 'Excessive anger']","['pain-in-eye', 'shoulder-cramps-or-spasms', 'facial-pain', 'ankle-pain', 'wrist-pain', 'pain-during-pregnancy', 'excessive-anger']","[91, 91, 91, 91, 91, 91, 91]","Condition: Lead poisoning. Patient reports: Pain in eye, Shoulder cramps or spasms, Facial pain, Ankle pain, Wrist pain, Pain during pregnancy, Excessive anger.",7,91,91.0,0,0,0,self_monitor,False,23,0
Acute bronchiolitis,acute-bronchiolitis,"['Cough', 'Fever', 'Nasal congestion', 'Wheezing', 'Difficulty breathing', 'Vomiting', 'Coryza']","['cough', 'fever', 'nasal-congestion', 'wheezing', 'difficulty-breathing', 'vomiting', 'coryza']","[91, 78, 76, 59, 56, 42, 41]","Condition: Acute bronchiolitis. Patient reports: Cough, Fever, Nasal congestion, Wheezing, Difficulty breathing, Vomiting, Coryza.",7,91,63.285714285714285,1,2,1,urgent,False,14,2
Injury to the abdomen,injury-to-the-abdomen,"['Sharp abdominal pain', 'Sharp chest pain', 'Back pain', 'Burning abdominal pain', 'Upper abdominal pain', 'Lower abdominal pain', 'Leg pain']","['sharp-abdominal-pain', 'sharp-chest-pain', 'back-pain', 'burning-abdominal-pain', 'upper-abdominal-pain', 'lower-abdominal-pain', 'leg-pain']","[68, 59, 45, 45, 45, 35, 35]","Condition: Injury to the abdomen. Patient reports: Sharp abdominal pain, Sharp chest pain, Back pain, Burning abdominal pain, Upper abdominal pain, Lower abdominal pain, Leg pain.",7,68,47.42857142857143,1,2,0,urgent,False,26,2
Poisoning due to antihypertensives,poisoning-due-to-antihypertensives,"['Depressive or psychotic symptoms', 'Dizziness', 'Itching of skin', 'Skin rash', 'Weakness', 'Diarrhea', 'Nausea']","['depressive-or-psychotic-symptoms', 'dizziness', 'itching-of-skin', 'skin-rash', 'weakness', 'diarrhea', 'nausea']","[52, 52, 41, 41, 41, 26, 26]","Condition: Poisoning due to antihypertensives. Patient reports: Depressive or psychotic symptoms, Dizziness, Itching of skin, Skin rash, Weakness, Diarrhea, Nausea.",7,52,39.85714285714285,0,3,0,consult_gp,False,20,1
Reactive arthritis,reactive-arthritis,"['Knee pain', 'Ache all over', 'Hip pain', 'Back pain', 'Vulvar sore', 'Loss of sex drive', 'Knee lump or mass']","['knee-pain', 'ache-all-over', 'hip-pain', 'back-pain', 'vulvar-sore', 'loss-of-sex-drive', 'knee-lump-or-mass']","[77, 77, 77, 77, 11, 11, 11]","Condition: Reactive arthritis. Patient reports: Knee pain, Ache all over, Hip pain, Back pain, Vulvar sore, Loss of sex drive, Knee lump or mass.",7,77,48.71428571428572,0,1,0,consult_gp,False,24,1
Fracture of the hand,fracture-of-the-hand,"['Hand or finger pain', 'Wrist pain', 'Hand or finger swelling', 'Arm pain', 'Wrist swelling', 'Arm stiffness or tightness', 'Arm swelling']","['hand-or-finger-pain', 'wrist-pain', 'hand-or-finger-swelling', 'arm-pain', 'wrist-swelling', 'arm-stiffness-or-tightness', 'arm-swelling']","[71, 67, 39, 23, 12, 4, 4]","Condition: Fracture of the hand. Patient reports: Hand or finger pain, Wrist pain, Hand or finger swelling, Arm pain, Wrist swelling, Arm stiffness or tightness, Arm swelling.",7,71,31.428571428571427,0,0,0,self_monitor,False,27,0
Osteoporosis,osteoporosis,"['Back pain', 'Hip pain', 'Joint pain', 'Bones are painful', 'Disturbance of memory', 'Muscle cramps, contractures, or spasms', 'Stomach bloating']","['back-pain', 'hip-pain', 'joint-pain', 'bones-are-painful', 'disturbance-of-memory', 'muscle-cramps-contractures-or-spasms', 'stomach-bloating']","[36, 20, 15, 10, 7, 5, 4]","Condition: Osteoporosis. Patient reports: Back pain, Hip pain, Joint pain, Bones are painful, Disturbance of memory, Muscle cramps, contractures, or spasms, Stomach bloating.",7,36,13.857142857142858,0,2,1,consult_gp,False,23,1
Yeast infection,yeast-infection,"['Vaginal itching', 'Vaginal discharge', 'Skin rash', 'Diaper rash', 'Sharp abdominal pain', 'Itching of skin', 'Suprapubic pain']","['vaginal-itching', 'vaginal-discharge', 'skin-rash', 'diaper-rash', 'sharp-abdominal-pain', 'itching-of-skin', 'suprapubic-pain']","[62, 58, 52, 31, 29, 29, 23]","Condition: Yeast infection. Patient reports: Vaginal itching, Vaginal discharge, Skin rash, Diaper rash, Sharp abdominal pain, Itching of skin, Suprapubic pain.",7,62,40.57142857142857,0,2,0,consult_gp,False,21,1
Pelvic inflammatory disease,pelvic-inflammatory-disease,"['Sharp abdominal pain', 'Pelvic pain', 'Lower abdominal pain', 'Vaginal discharge', 'Nausea', 'Vomiting', 'Side pain']","['sharp-abdominal-pain', 'pelvic-pain', 'lower-abdominal-pain', 'vaginal-discharge', 'nausea', 'vomiting', 'side-pain']","[84, 60, 57, 56, 34, 30, 25]","Condition: Pelvic inflammatory disease. Patient reports: Sharp abdominal pain, Pelvic pain, Lower abdominal pain, Vaginal discharge, Nausea, Vomiting, Side pain.",7,84,49.42857142857143,0,2,0,consult_gp,False,20,1
Sickle cell anemia,sickle-cell-anemia,"['Ache all over', 'Leg pain', 'Fever', 'Back pain', 'Joint pain', 'Pulling at ears', 'Temper problems']","['ache-all-over', 'leg-pain', 'fever', 'back-pain', 'joint-pain', 'pulling-at-ears', 'temper-problems']","[42, 37, 29, 26, 10, 7, 4]","Condition: Sickle cell anemia. Patient reports: Ache all over, Leg pain, Fever, Back pain, Joint pain, Pulling at ears, Temper problems.",7,42,22.142857142857142,0,3,0,consult_gp,False,21,1
Scoliosis,scoliosis,"['Back pain', 'Low back pain', 'Leg pain', 'Problems with movement', 'Lower body pain', 'Leg weakness', 'Knee swelling']","['back-pain', 'low-back-pain', 'leg-pain', 'problems-with-movement', 'lower-body-pain', 'leg-weakness', 'knee-swelling']","[66, 51, 31, 16, 8, 4, 4]","Condition: Scoliosis. Patient reports: Back pain, Low back pain, Leg pain, Problems with movement, Lower body pain, Leg weakness, Knee swelling.",7,66,25.714285714285715,1,1,0,urgent,False,21,2
Allergy,allergy,"['Skin rash', 'Allergic reaction', 'Itching of skin', 'Peripheral edema', 'Abnormal appearing skin', 'Cough', 'Swollen eye']","['skin-rash', 'allergic-reaction', 'itching-of-skin', 'peripheral-edema', 'abnormal-appearing-skin', 'cough', 'swollen-eye']","[85, 65, 61, 28, 27, 26, 24]","Condition: Allergy. Patient reports: Skin rash, Allergic reaction, Itching of skin, Peripheral edema, Abnormal appearing skin, Cough, Swollen eye.",7,85,45.142857142857146,0,2,0,consult_gp,False,19,1
Dysthymic disorder,dysthymic-disorder,"['Depression', 'Anxiety and nervousness', 'Depressive or psychotic symptoms', 'Insomnia', 'Excessive anger', 'Low self-esteem', 'Disturbance of memory']","['depression', 'anxiety-and-nervousness', 'depressive-or-psychotic-symptoms', 'insomnia', 'excessive-anger', 'low-self-esteem', 'disturbance-of-memory']","[76, 72, 44, 22, 7, 7, 6]","Condition: Dysthymic disorder. Patient reports: Depression, Anxiety and nervousness, Depressive or psychotic symptoms, Insomnia, Excessive anger, Low self-esteem, Disturbance of memory.",7,76,33.42857142857143,0,0,0,self_monitor,False,21,0
Esophageal cancer,esophageal-cancer,"['Fatigue', 'Ache all over', 'Weakness', 'Sharp abdominal pain', 'Vomiting', 'Shortness of breath', 'Difficulty in swallowing']","['fatigue', 'ache-all-over', 'weakness', 'sharp-abdominal-pain', 'vomiting', 'shortness-of-breath', 'difficulty-in-swallowing']","[32, 32, 32, 32, 32, 28, 28]","Condition: Esophageal cancer. Patient reports: Fatigue, Ache all over, Weakness, Sharp abdominal pain, Vomiting, Shortness of breath, Difficulty in swallowing.",7,32,30.857142857142858,1,3,0,urgent,False,20,2
Air embolism,air-embolism,"['Pain in eye', 'Shoulder cramps or spasms', 'Facial pain', 'Ankle pain', 'Wrist pain', 'Pain during pregnancy', 'Excessive anger']","['pain-in-eye', 'shoulder-cramps-or-spasms', 'facial-pain', 'ankle-pain', 'wrist-pain', 'pain-during-pregnancy', 'excessive-anger']","[91, 91, 91, 91, 91, 91, 91]","Condition: Air embolism. Patient reports: Pain in eye, Shoulder cramps or spasms, Facial pain, Ankle pain, Wrist pain, Pain during pregnancy, Excessive anger.",7,91,91.0,0,0,0,self_monitor,False,23,0
Acute glaucoma,acute-glaucoma,"['Diminished vision', 'Pain in eye', 'Symptoms of eye', 'Eye redness', 'Spots or clouds in vision', 'Foreign body sensation in eye', 'Itchiness of eye']","['diminished-vision', 'pain-in-eye', 'symptoms-of-eye', 'eye-redness', 'spots-or-clouds-in-vision', 'foreign-body-sensation-in-eye', 'itchiness-of-eye']","[62, 41, 36, 28, 22, 18, 18]","Condition: Acute glaucoma. Patient reports: Diminished vision, Pain in eye, Symptoms of eye, Eye redness, Spots or clouds in vision, Foreign body sensation in eye, Itchiness of eye.",7,62,32.142857142857146,0,0,0,self_monitor,False,28,0
Hydrocele of the testicle,hydrocele-of-the-testicle,"['Swelling of scrotum', 'Pain in testicles', 'Groin pain', 'Mass in scrotum', 'Lower abdominal pain', 'Retention of urine', 'Groin mass']","['swelling-of-scrotum', 'pain-in-testicles', 'groin-pain', 'mass-in-scrotum', 'lower-abdominal-pain', 'retention-of-urine', 'groin-mass']","[75, 68, 38, 29, 23, 19, 15]","Condition: Hydrocele of the testicle. Patient reports: Swelling of scrotum, Pain in testicles, Groin pain, Mass in scrotum, Lower abdominal pain, Retention of urine, Groin mass.",7,75,38.142857142857146,0,1,0,consult_gp,False,26,1
Oral thrush (yeast infection),oral-thrush-yeast-infection,"['Fever', 'Nasal congestion', 'Cough', 'Skin rash', 'Sore throat', 'Abnormal appearing tongue', 'Irritable infant']","['fever', 'nasal-congestion', 'cough', 'skin-rash', 'sore-throat', 'abnormal-appearing-tongue', 'irritable-infant']","[50, 44, 43, 39, 33, 32, 32]","Condition: Oral thrush (yeast infection). Patient reports: Fever, Nasal congestion, Cough, Skin rash, Sore throat, Abnormal appearing tongue, Irritable infant.",7,50,39.0,0,3,1,consult_gp,False,20,1
Otosclerosis,otosclerosis,"['Diminished hearing', 'Dizziness', 'Plugged feeling in ear', 'Ear pain', 'Elbow weakness', 'Nailbiting', 'Low back weakness']","['diminished-hearing', 'dizziness', 'plugged-feeling-in-ear', 'ear-pain', 'elbow-weakness', 'nailbiting', 'low-back-weakness']","[94, 53, 53, 53, 2, 2, 2]","Condition: Otosclerosis. Patient reports: Diminished hearing, Dizziness, Plugged feeling in ear, Ear pain, Elbow weakness, Nailbiting, Low back weakness.",7,94,37.0,0,2,0,consult_gp,False,19,1
Hemiplegia,hemiplegia,"['Seizures', 'Headache', 'Weakness', 'Focal weakness', 'Loss of sensation', 'Problems with movement', 'Abnormal involuntary movements']","['seizures', 'headache', 'weakness', 'focal-weakness', 'loss-of-sensation', 'problems-with-movement', 'abnormal-involuntary-movements']","[50, 46, 42, 42, 37, 31, 27]","Condition: Hemiplegia. Patient reports: Seizures, Headache, Weakness, Focal weakness, Loss of sensation, Problems with movement, Abnormal involuntary movements.",7,50,39.285714285714285,1,1,0,urgent,False,18,2
Prostatitis,prostatitis,"['Painful urination', 'Frequent urination', 'Retention of urine', 'Pain in testicles', 'Blood in urine', 'Symptoms of prostate', 'Sharp abdominal pain']","['painful-urination', 'frequent-urination', 'retention-of-urine', 'pain-in-testicles', 'blood-in-urine', 'symptoms-of-prostate', 'sharp-abdominal-pain']","[58, 52, 41, 41, 37, 34, 34]","Condition: Prostatitis. Patient reports: Painful urination, Frequent urination, Retention of urine, Pain in testicles, Blood in urine, Symptoms of prostate, Sharp abdominal pain.",7,58,42.42857142857143,0,3,0,consult_gp,False,23,1
Sjogren syndrome,sjogren-syndrome,"['Symptoms of eye', 'Diminished vision', 'Ache all over', 'Joint pain', 'Pain in eye', 'Peripheral edema', 'Mouth dryness']","['symptoms-of-eye', 'diminished-vision', 'ache-all-over', 'joint-pain', 'pain-in-eye', 'peripheral-edema', 'mouth-dryness']","[60, 46, 36, 29, 21, 21, 21]","Condition: Sjogren syndrome. Patient reports: Symptoms of eye, Diminished vision, Ache all over, Joint pain, Pain in eye, Peripheral edema, Mouth dryness.",7,60,33.42857142857143,0,2,0,consult_gp,False,22,1
Poisoning due to antipsychotics,poisoning-due-to-antipsychotics,"['Anxiety and nervousness', 'Depressive or psychotic symptoms', 'Depression', 'Delusions or hallucinations', 'Sleepiness', 'Dizziness', 'Tongue lesions']","['anxiety-and-nervousness', 'depressive-or-psychotic-symptoms', 'depression', 'delusions-or-hallucinations', 'sleepiness', 'dizziness', 'tongue-lesions']","[50, 50, 50, 39, 24, 24, 24]","Condition: Poisoning due to antipsychotics. Patient reports: Anxiety and nervousness, Depressive or psychotic symptoms, Depression, Delusions or hallucinations, Sleepiness, Dizziness, Tongue lesions.",7,50,37.285714285714285,0,1,0,consult_gp,False,22,1
Gynecomastia,gynecomastia,"['Problems with shape or size of breast', 'Lump or mass of breast', 'Back pain', 'Pain or soreness of breast', 'Neck pain', 'Weight gain', 'Skin swelling']","['problems-with-shape-or-size-of-breast', 'lump-or-mass-of-breast', 'back-pain', 'pain-or-soreness-of-breast', 'neck-pain', 'weight-gain', 'skin-swelling']","[67, 61, 55, 53, 39, 12, 12]","Condition: Gynecomastia. Patient reports: Problems with shape or size of breast, Lump or mass of breast, Back pain, Pain or soreness of breast, Neck pain, Weight gain, Skin swelling.",7,67,42.71428571428572,0,1,0,consult_gp,False,29,1
Hammer toe,hammer-toe,"['Foot or toe pain', 'Loss of sensation', 'Skin lesion', 'Foot or toe swelling', 'Irregular appearing nails', 'Problems with movement', 'Skin growth']","['foot-or-toe-pain', 'loss-of-sensation', 'skin-lesion', 'foot-or-toe-swelling', 'irregular-appearing-nails', 'problems-with-movement', 'skin-growth']","[90, 31, 23, 13, 13, 13, 13]","Condition: Hammer toe. Patient reports: Foot or toe pain, Loss of sensation, Skin lesion, Foot or toe swelling, Irregular appearing nails, Problems with movement, Skin growth.",7,90,28.0,0,0,0,self_monitor,False,26,0
Vaginitis,vaginitis,"['Vaginal discharge', 'Vaginal itching', 'Sharp abdominal pain', 'Painful urination', 'Vaginal pain', 'Lower abdominal pain', 'Pelvic pain']","['vaginal-discharge', 'vaginal-itching', 'sharp-abdominal-pain', 'painful-urination', 'vaginal-pain', 'lower-abdominal-pain', 'pelvic-pain']","[78, 59, 49, 40, 29, 26, 23]","Condition: Vaginitis. Patient reports: Vaginal discharge, Vaginal itching, Sharp abdominal pain, Painful urination, Vaginal pain, Lower abdominal pain, Pelvic pain.",7,78,43.42857142857143,0,2,0,consult_gp,False,20,1
Epididymitis,epididymitis,"['Pain in testicles', 'Swelling of scrotum', 'Groin pain', 'Sharp abdominal pain', 'Side pain', 'Lower abdominal pain', 'Painful urination']","['pain-in-testicles', 'swelling-of-scrotum', 'groin-pain', 'sharp-abdominal-pain', 'side-pain', 'lower-abdominal-pain', 'painful-urination']","[91, 73, 46, 30, 20, 18, 18]","Condition: Epididymitis. Patient reports: Pain in testicles, Swelling of scrotum, Groin pain, Sharp abdominal pain, Side pain, Lower abdominal pain, Painful urination.",7,91,42.285714285714285,0,2,0,consult_gp,False,22,1
Persistent vomiting of unknown cause,persistent-vomiting-of-unknown-cause,"['Vomiting', 'Nausea', 'Sharp abdominal pain', 'Diarrhea', 'Fever', 'Problems during pregnancy', 'Headache']","['vomiting', 'nausea', 'sharp-abdominal-pain', 'diarrhea', 'fever', 'problems-during-pregnancy', 'headache']","[96, 83, 72, 52, 28, 24, 24]","Condition: Persistent vomiting of unknown cause. Patient reports: Vomiting, Nausea, Sharp abdominal pain, Diarrhea, Fever, Problems during pregnancy, Headache.",7,96,54.142857142857146,0,5,0,consult_gp,False,19,1
Pelvic organ prolapse,pelvic-organ-prolapse,"['Involuntary urination', 'Frequent urination', 'Symptoms of bladder', 'Retention of urine', 'Suprapubic pain', 'Vaginal pain', 'Pelvic pain']","['involuntary-urination', 'frequent-urination', 'symptoms-of-bladder', 'retention-of-urine', 'suprapubic-pain', 'vaginal-pain', 'pelvic-pain']","[62, 36, 28, 24, 17, 14, 10]","Condition: Pelvic organ prolapse. Patient reports: Involuntary urination, Frequent urination, Symptoms of bladder, Retention of urine, Suprapubic pain, Vaginal pain, Pelvic pain.",7,62,27.285714285714285,0,0,0,self_monitor,False,22,0
Amyloidosis,amyloidosis,"['Shortness of breath', 'Fatigue', 'Anxiety and nervousness', 'Symptoms of the kidneys', 'Congestion in chest', 'Fever', 'Weakness']","['shortness-of-breath', 'fatigue', 'anxiety-and-nervousness', 'symptoms-of-the-kidneys', 'congestion-in-chest', 'fever', 'weakness']","[72, 43, 43, 43, 43, 43, 43]","Condition: Amyloidosis. Patient reports: Shortness of breath, Fatigue, Anxiety and nervousness, Symptoms of the kidneys, Congestion in chest, Fever, Weakness.",7,72,47.142857142857146,1,2,0,urgent,False,20,2
Liver cancer,liver-cancer,"['Sharp abdominal pain', 'Upper abdominal pain', 'Stomach bloating', 'Changes in stool appearance', 'Decreased appetite', 'Unusual color or odor to urine', 'Increased heart rate']","['sharp-abdominal-pain', 'upper-abdominal-pain', 'stomach-bloating', 'changes-in-stool-appearance', 'decreased-appetite', 'unusual-color-or-odor-to-urine', 'increased-heart-rate']","[33, 31, 13, 9, 9, 5, 5]","Condition: Liver cancer. Patient reports: Sharp abdominal pain, Upper abdominal pain, Stomach bloating, Changes in stool appearance, Decreased appetite, Unusual color or odor to urine, Increased heart rate.",7,33,15.0,0,1,1,consult_gp,False,28,1
Pulmonary congestion,pulmonary-congestion,"['Shortness of breath', 'Sharp chest pain', 'Cough', 'Difficulty breathing', 'Nasal congestion', 'Fever', 'Chest tightness']","['shortness-of-breath', 'sharp-chest-pain', 'cough', 'difficulty-breathing', 'nasal-congestion', 'fever', 'chest-tightness']","[85, 65, 56, 56, 39, 31, 27]","Condition: Pulmonary congestion. Patient reports: Shortness of breath, Sharp chest pain, Cough, Difficulty breathing, Nasal congestion, Fever, Chest tightness.",7,85,51.285714285714285,4,1,1,urgent,False,19,2
Aspergillosis,aspergillosis,"['Sharp abdominal pain', 'Diminished hearing', 'Vomiting blood', 'Shortness of breath', 'Vulvar sore', 'Loss of sex drive', 'Knee lump or mass']","['sharp-abdominal-pain', 'diminished-hearing', 'vomiting-blood', 'shortness-of-breath', 'vulvar-sore', 'loss-of-sex-drive', 'knee-lump-or-mass']","[77, 77, 77, 77, 11, 11, 11]","Condition: Aspergillosis. Patient reports: Sharp abdominal pain, Diminished hearing, Vomiting blood, Shortness of breath, Vulvar sore, Loss of sex drive, Knee lump or mass.",7,77,48.71428571428572,2,2,0,urgent,False,24,2
Wilson disease,wilson-disease,"['Sleepiness', 'Diminished vision', 'Fatigue', 'Abnormal breathing sounds', 'Insomnia', 'Cough', 'Apnea']","['sleepiness', 'diminished-vision', 'fatigue', 'abnormal-breathing-sounds', 'insomnia', 'cough', 'apnea']","[69, 51, 51, 51, 51, 33, 33]","Condition: Wilson disease. Patient reports: Sleepiness, Diminished vision, Fatigue, Abnormal breathing sounds, Insomnia, Cough, Apnea.",7,69,48.42857142857143,0,1,0,consult_gp,False,15,1
Impulse control disorder,impulse-control-disorder,"['Depressive or psychotic symptoms', 'Anxiety and nervousness', 'Hostile behavior', 'Depression', 'Excessive anger', 'Temper problems', 'Insomnia']","['depressive-or-psychotic-symptoms', 'anxiety-and-nervousness', 'hostile-behavior', 'depression', 'excessive-anger', 'temper-problems', 'insomnia']","[55, 44, 44, 38, 35, 27, 13]","Condition: Impulse control disorder. Patient reports: Depressive or psychotic symptoms, Anxiety and nervousness, Hostile behavior, Depression, Excessive anger, Temper problems, Insomnia.",7,55,36.57142857142857,0,0,0,self_monitor,False,21,0
Orthostatic hypotension,orthostatic-hypotension,"['Dizziness', 'Fainting', 'Weakness', 'Headache', 'Sharp chest pain', 'Feeling ill', 'Fatigue']","['dizziness', 'fainting', 'weakness', 'headache', 'sharp-chest-pain', 'feeling-ill', 'fatigue']","[86, 69, 54, 40, 24, 21, 21]","Condition: Orthostatic hypotension. Patient reports: Dizziness, Fainting, Weakness, Headache, Sharp chest pain, Feeling ill, Fatigue.",7,86,45.0,2,3,0,urgent,False,15,2
Obstructive sleep apnea (OSA),obstructive-sleep-apnea-osa,"['Abnormal breathing sounds', 'Apnea', 'Sleepiness', 'Difficulty breathing', 'Fatigue', 'Insomnia', 'Shortness of breath']","['abnormal-breathing-sounds', 'apnea', 'sleepiness', 'difficulty-breathing', 'fatigue', 'insomnia', 'shortness-of-breath']","[83, 77, 76, 51, 50, 46, 28]","Condition: Obstructive sleep apnea (OSA). Patient reports: Abnormal breathing sounds, Apnea, Sleepiness, Difficulty breathing, Fatigue, Insomnia, Shortness of breath.",7,83,58.71428571428572,2,1,0,urgent,False,19,2
Hemochromatosis,hemochromatosis,"['Ache all over', 'Abnormal appearing skin', 'Pain in testicles', 'Recent weight loss', 'Joint pain', 'Disturbance of memory', 'Too little hair']","['ache-all-over', 'abnormal-appearing-skin', 'pain-in-testicles', 'recent-weight-loss', 'joint-pain', 'disturbance-of-memory', 'too-little-hair']","[28, 16, 9, 9, 9, 9, 9]","Condition: Hemochromatosis. Patient reports: Ache all over, Abnormal appearing skin, Pain in testicles, Recent weight loss, Joint pain, Disturbance of memory, Too little hair.",7,28,12.714285714285714,0,1,0,consult_gp,False,24,1
Tonsillitis,tonsillitis,"['Sore throat', 'Swollen or red tonsils', 'Abnormal breathing sounds', 'Nasal congestion', 'Throat feels tight', 'Redness in ear', 'Apnea']","['sore-throat', 'swollen-or-red-tonsils', 'abnormal-breathing-sounds', 'nasal-congestion', 'throat-feels-tight', 'redness-in-ear', 'apnea']","[75, 62, 48, 37, 32, 30, 17]","Condition: Tonsillitis. Patient reports: Sore throat, Swollen or red tonsils, Abnormal breathing sounds, Nasal congestion, Throat feels tight, Redness in ear, Apnea.",7,75,43.0,0,1,1,consult_gp,False,22,1
Myelodysplastic syndrome,myelodysplastic-syndrome,"['Fatigue', 'Chills', 'Difficulty speaking', 'Coughing up sputum']","['fatigue', 'chills', 'difficulty-speaking', 'coughing-up-sputum']","[50, 11, 6, 6]","Condition: Myelodysplastic syndrome. Patient reports: Fatigue, Chills, Difficulty speaking, Coughing up sputum.",4,50,18.25,0,1,0,consult_gp,False,12,1
Syringomyelia,syringomyelia,"['Back pain', 'Shoulder pain', 'Headache', 'Neck pain', 'Side pain', 'Leg weakness', 'Hand or finger swelling']","['back-pain', 'shoulder-pain', 'headache', 'neck-pain', 'side-pain', 'leg-weakness', 'hand-or-finger-swelling']","[81, 64, 53, 53, 36, 36, 36]","Condition: Syringomyelia. Patient reports: Back pain, Shoulder pain, Headache, Neck pain, Side pain, Leg weakness, Hand or finger swelling.",7,81,51.285714285714285,1,2,0,urgent,False,19,2
Acute stress reaction,acute-stress-reaction,"['Anxiety and nervousness', 'Sharp chest pain', 'Headache', 'Depressive or psychotic symptoms', 'Depression', 'Insomnia', 'Dizziness']","['anxiety-and-nervousness', 'sharp-chest-pain', 'headache', 'depressive-or-psychotic-symptoms', 'depression', 'insomnia', 'dizziness']","[77, 47, 45, 43, 42, 34, 32]","Condition: Acute stress reaction. Patient reports: Anxiety and nervousness, Sharp chest pain, Headache, Depressive or psychotic symptoms, Depression, Insomnia, Dizziness.",7,77,45.71428571428572,1,2,0,urgent,False,20,2
Hashimoto thyroiditis,hashimoto-thyroiditis,"['Weight gain', 'Constipation', 'Heavy menstrual flow', 'Premenstrual tension or irritability', 'Warts', 'Difficulty in swallowing', 'Too little hair']","['weight-gain', 'constipation', 'heavy-menstrual-flow', 'premenstrual-tension-or-irritability', 'warts', 'difficulty-in-swallowing', 'too-little-hair']","[19, 19, 11, 11, 11, 11, 11]","Condition: Hashimoto thyroiditis. Patient reports: Weight gain, Constipation, Heavy menstrual flow, Premenstrual tension or irritability, Warts, Difficulty in swallowing, Too little hair.",7,19,13.285714285714286,0,0,0,self_monitor,False,22,0
